1,Processo 1,11/02/2023 22:58:39,11/02/2023 22:58:39,0:00:00,Concluído,SQL
2,Processo 1,11/02/2023 22:59:32,11/02/2023 22:59:32,0:00:00,Concluído,SAS
3,Processo 1,11/02/2023 23:04:12,11/02/2023 23:04:12,0:00:00,Concluído,Teradata
4,Processo 1,11/02/2023 23:04:15,11/02/2023 23:04:15,0:00:00,Concluído,Teradata
5,Processo 1,11/02/2023 23:04:16,11/02/2023 23:04:16,0:00:00,Concluído,Teradata
6,Processo 1,11/02/2023 23:04:17,11/02/2023 23:04:17,0:00:00,Concluído,Teradata
7,Processo 1,11/02/2023 23:04:31,11/02/2023 23:04:31,0:00:00,Concluído,Teradata
8,Processo 1,11/02/2023 23:04:43,11/02/2023 23:04:44,0:00:00,Concluído,Teradata
9,Processo 1,11/02/2023 23:04:47,11/02/2023 23:04:48,0:00:00,Concluído,Teradata
10,Processo 1,11/02/2023 23:04:50,11/02/2023 23:04:51,0:00:00,Concluído,Teradata
11,Processo 1,11/02/2023 23:05:10,11/02/2023 23:05:22,0:00:12,Concluído,Teradata
12,Processo 1,11/02/2023 23:10:49,11/02/2023 23:10:54,0:00:04,Concluído,Teradata
13,Processo 1,12/02/2023 00:29:22,12/02/2023 00:29:33,0:00:11,Concluído,Teradata
14,Processo 1,12/02/2023 00:40:15,12/02/2023 00:40:19,0:00:04,Concluído,Teradata
15,Processo 1,12/02/2023 00:40:22,12/02/2023 00:40:26,0:00:04,Concluído,Teradata
16,TBL_TRADUTOR_202212_IA_123456789,12/02/2023 00:40:27,12/02/2023 00:40:31,0:00:04,Concluído,Teradata
17,Processo 1,12/02/2023 01:51:03,12/02/2023 01:51:15,0:00:11,Concluído,Teradata
18,Processo 1,12/02/2023 02:00:47,12/02/2023 02:00:47,0:00:00,Concluído,Teradata
19,Processo 1,12/02/2023 02:00:48,12/02/2023 02:00:48,0:00:00,Concluído,Teradata
20,Processo 1,12/02/2023 02:00:48,12/02/2023 02:00:48,0:00:00,Concluído,Teradata
21,Processo 1,12/02/2023 02:00:49,12/02/2023 02:00:49,0:00:00,Concluído,Teradata
22,Processo 1,12/02/2023 02:00:49,12/02/2023 02:00:49,0:00:00,Concluído,Teradata
23,Processo 1,12/02/2023 02:00:49,12/02/2023 02:00:49,0:00:00,Concluído,Teradata
24,Processo 1,12/02/2023 02:00:49,12/02/2023 02:00:49,0:00:00,Concluído,Teradata
25,Processo 1,12/02/2023 02:00:49,12/02/2023 02:00:50,0:00:00,Concluído,Teradata
26,Processo 1,12/02/2023 02:00:50,12/02/2023 02:00:50,0:00:00,Concluído,Teradata
27,Processo 1,12/02/2023 02:00:50,12/02/2023 02:00:50,0:00:00,Concluído,Teradata
28,Processo 1,12/02/2023 02:00:50,12/02/2023 02:00:50,0:00:00,Concluído,Teradata
29,Processo 1,12/02/2023 02:00:50,12/02/2023 02:00:50,0:00:00,Concluído,Teradata
30,Processo 1,12/02/2023 02:00:51,12/02/2023 02:00:51,0:00:00,Concluído,Teradata
31,Processo 1,12/02/2023 02:00:51,12/02/2023 02:00:51,0:00:00,Concluído,Teradata
32,Processo 1,12/02/2023 02:00:51,12/02/2023 02:00:51,0:00:00,Concluído,Teradata
33,Processo 1,12/02/2023 02:00:51,12/02/2023 02:00:51,0:00:00,Concluído,Teradata
34,Processo 1,12/02/2023 02:00:51,12/02/2023 02:00:52,0:00:00,Concluído,Teradata
35,Processo 1,12/02/2023 02:00:52,12/02/2023 02:00:52,0:00:00,Concluído,Teradata
36,Processo 1,12/02/2023 02:00:52,12/02/2023 02:00:52,0:00:00,Concluído,Teradata
37,Processo 1,12/02/2023 02:00:52,12/02/2023 02:00:52,0:00:00,Concluído,Teradata
38,Processo 1,12/02/2023 02:00:52,12/02/2023 02:00:52,0:00:00,Concluído,Teradata
39,Processo 1,12/02/2023 02:00:53,12/02/2023 02:00:53,0:00:00,Concluído,Teradata
40,Processo 1,12/02/2023 02:00:53,12/02/2023 02:00:53,0:00:00,Concluído,Teradata
41,Processo 1,12/02/2023 02:00:53,12/02/2023 02:00:53,0:00:00,Concluído,Teradata
42,Processo 1,12/02/2023 02:00:53,12/02/2023 02:00:53,0:00:00,Concluído,Teradata
43,Processo 1,12/02/2023 02:00:53,12/02/2023 02:00:53,0:00:00,Concluído,Teradata
44,Processo 1,12/02/2023 02:00:54,12/02/2023 02:00:54,0:00:00,Concluído,Teradata
45,Processo 1,12/02/2023 02:00:54,12/02/2023 02:00:54,0:00:00,Concluído,Teradata
46,Processo 1,12/02/2023 02:00:54,12/02/2023 02:00:54,0:00:00,Concluído,Teradata
47,Processo 1,12/02/2023 02:00:54,12/02/2023 02:00:54,0:00:00,Concluído,Teradata
48,Processo 1,12/02/2023 02:00:54,12/02/2023 02:00:54,0:00:00,Concluído,Teradata
49,Processo 1,12/02/2023 02:00:55,12/02/2023 02:00:55,0:00:00,Concluído,Teradata
50,Processo 1,12/02/2023 02:00:55,12/02/2023 02:00:55,0:00:00,Concluído,Teradata
51,Processo 1,12/02/2023 02:00:55,12/02/2023 02:00:55,0:00:00,Concluído,Teradata
52,Processo 1,12/02/2023 02:00:55,12/02/2023 02:00:55,0:00:00,Concluído,Teradata
53,Processo 1,12/02/2023 02:00:56,12/02/2023 02:00:56,0:00:00,Concluído,Teradata
54,Processo 1,12/02/2023 02:00:56,12/02/2023 02:00:56,0:00:00,Concluído,Teradata
55,Processo 1,12/02/2023 02:00:56,12/02/2023 02:00:56,0:00:00,Concluído,Teradata
56,Processo 1,12/02/2023 02:00:56,12/02/2023 02:00:56,0:00:00,Concluído,Teradata
57,Processo 1,12/02/2023 02:00:57,12/02/2023 02:00:57,0:00:00,Concluído,Teradata
58,Processo 1,12/02/2023 02:00:57,12/02/2023 02:00:57,0:00:00,Concluído,Teradata
59,Processo 1,12/02/2023 02:00:57,12/02/2023 02:00:57,0:00:00,Concluído,Teradata
60,Processo 1,12/02/2023 02:00:58,12/02/2023 02:00:58,0:00:00,Concluído,Teradata
61,Processo 1,12/02/2023 02:00:58,12/02/2023 02:00:58,0:00:00,Concluído,Teradata
62,Processo 1,12/02/2023 02:00:58,12/02/2023 02:00:58,0:00:00,Concluído,Teradata
63,Processo 1,12/02/2023 02:00:59,12/02/2023 02:00:59,0:00:00,Concluído,Teradata
64,Processo 1,12/02/2023 02:00:59,12/02/2023 02:00:59,0:00:00,Concluído,Teradata
65,Processo 1,12/02/2023 02:00:59,12/02/2023 02:00:59,0:00:00,Concluído,Teradata
66,Processo 1,12/02/2023 02:01:00,12/02/2023 02:01:00,0:00:00,Concluído,Teradata
67,Processo 1,12/02/2023 02:01:00,12/02/2023 02:01:00,0:00:00,Concluído,Teradata
68,Processo 1,12/02/2023 02:01:00,12/02/2023 02:01:00,0:00:00,Concluído,Teradata
69,Processo 1,12/02/2023 02:01:01,12/02/2023 02:01:01,0:00:00,Concluído,Teradata
70,Processo 1,12/02/2023 02:01:01,12/02/2023 02:01:01,0:00:00,Concluído,Teradata
71,Processo 1,12/02/2023 02:01:01,12/02/2023 02:01:01,0:00:00,Concluído,Teradata
72,Processo 1,12/02/2023 02:01:02,12/02/2023 02:01:02,0:00:00,Concluído,Teradata
73,Processo 1,12/02/2023 02:01:02,12/02/2023 02:01:02,0:00:00,Concluído,Teradata
74,Processo 1,12/02/2023 02:01:02,12/02/2023 02:01:02,0:00:00,Concluído,Teradata
75,Processo 1,12/02/2023 02:01:03,12/02/2023 02:01:03,0:00:00,Concluído,Teradata
76,Processo 1,12/02/2023 02:01:03,12/02/2023 02:01:03,0:00:00,Concluído,Teradata
